Index,Word,log freq,nr. of tokens,tokens,word score
371,drove,8.338305731356565,2,dro_ve,-19.72909545898437
372,drummer,7.803026643632217,3,d_rum_mer,-18.834259033203125
373,drunk,9.980494888896912,2,dr_unk,-16.122154235839844
374,duped,6.726233402358747,2,du_ped,-20.689197540283203
375,dwarf,9.153558357877198,3,d_war_f,-16.921274185180664
376,eaten,8.211754397375197,2,eat_en,-19.29947662353516
377,economist,8.681350777582521,2,econom_ist,-18.56182289123535
378,edited,7.605392364814935,1,edited,-13.897216796875
379,editor,10.016191042449211,1,editor,-13.899337768554688
380,elderly,8.420241665339788,3,e_lder_ly,-19.54425430297852
381,emailed,5.198497031265826,2,em_ailed,-20.414775848388672
382,embarrassed,7.155396301896734,3,emb_arrass_ed,-16.894336700439453
383,embezzler,6.794586580876499,4,em_be_zz_ler,-22.55491352081299
384,embraced,6.921658184151129,3,em_br_aced,-22.049819946289062
385,emissary,6.93537044601511,3,em_iss_ary,-20.662372589111328
386,employed,9.863186255762605,1,employed,-16.641990661621094
387,employee,10.477654105612782,2,employ_ee,-16.005216598510742
388,emptied,6.983789965258135,2,empt_ied,-20.61561584472656
389,emt,8.780326390946605,2,em_t,-20.028484344482425
390,emulated,6.329720905522696,2,em_ulated,-19.108539581298828
391,enchanted,7.254884810077338,2,ench_anted,-21.57411193847656
392,encouraged,8.293049139768444,3,enc_our_aged,-19.15896987915039
393,engrossed,6.899723107284872,3,eng_ross_ed,-21.583984375
394,entertained,7.737616282857904,3,ent_ert_ained,-23.13808822631836
395,entertainer,7.581209826196346,3,ent_ertain_er,-21.28934860229492
396,enthusiast,8.899730794880696,4,ent_hus_i_ast,-19.79658317565918
397,entomologist,7.234177179749849,3,ent_om_ologist,-22.852039337158203
398,entrepreneur,8.663023639627777,3,ent_reprene_ur,-19.221664428710938
399,envelope,8.310414994188292,3,en_velop_e,-18.45307731628418
400,envied,6.965080345601407,2,env_ied,-23.73778533935547
401,environmentalist,6.943122422819428,2,environment_alist,-20.226970672607425
402,envoy,9.774005094757891,2,env_oy,-23.68311309814453
403,erased,6.682108597449809,2,er_ased,-19.5279541015625
404,established,10.27512007210784,1,established,-15.756919860839844
405,estate,10.61956970437857,1,estate,-17.85742950439453
406,esteemed,7.515344571180436,2,este_emed,-21.55108642578125
407,evangelist,8.713910628493924,3,ev_angel_ist,-20.19711303710937
408,evicted,6.628041376179533,2,ev_icted,-20.619220733642575
409,ex-wife,0.0,3,ex_-_wife,-20.34918975830078
410,examined,9.07015834137632,3,ex_am_ined,-19.56438446044922
