word,nr. of tokens,tokens,word score
cynics,3,c_##yn_##ics,-20.34127712249756
cynthia,3,c_##ynth_##ia,-21.624985694885254
cypress,3,c_##y_##press,-17.497273445129395
cyrus,3,c_##yr_##us,-21.498774528503418
cysts,3,c_##ys_##ts,-20.629039764404297
cytolysis,4,c_##yt_##oly_##sis,-24.81656265258789
cytoplasm,5,c_##yt_##op_##las_##m,-28.696269035339355
czechoslovakia,7,c_##ze_##cho_##s_##lov_##aki_##a,-53.55876541137695
czerny,3,c_##zer_##ny,-20.27401828765869
d,1,d,-10.119667053222656
da,1,da,-10.643478393554688
dabbing,3,da_##bb_##ing,-16.93269634246826
dactyls,4,da_##ct_##yl_##s,-21.23454761505127
daddy,1,daddy,-9.88150691986084
dade,2,dad_##e,-14.687065124511719
daer,2,da_##er,-18.58075523376465
dag,2,da_##g,-14.073756694793701
dailey,3,da_##ile_##y,-22.866456031799316
daily,1,daily,-11.619894027709961
daintily,3,da_##int_##ily,-22.34786891937256
dainty,3,da_##int_##y,-16.3354549407959
dairy,1,dairy,-13.594686508178711
dakota,3,da_##kot_##a,-22.22158908843994
dale,2,da_##le,-17.085981369018555
dallas,2,da_##llas,-21.320481300354004
dalloway,3,da_##llow_##ay,-27.36677837371826
daly,2,da_##ly,-18.628067016601562
dam,1,dam,-11.913213729858398
damage,1,damage,-11.72745418548584
damaged,1,damaged,-11.37669849395752
damages,1,damages,-13.763864517211914
damaging,1,damaging,-13.813823699951172
damascus,3,dam_##as_##cus,-23.53787612915039
dame,2,dam_##e,-12.396581649780273
damn,1,damn,-6.7711687088012695
damnation,2,damn_##ation,-8.861243724822998
damned,1,damned,-7.315138816833496
damon,2,dam_##on,-20.53738021850586
damp,1,damp,-12.206498146057129
dampen,2,damp_##en,-17.253472328186035
dampness,2,damp_##ness,-13.934958457946777
dams,1,dams,-15.56315803527832
damsel,2,dams_##el,-14.553949356079102
dan,2,da_##n,-14.764448165893555
dana,2,da_##na,-16.722530841827393
dance,1,dance,-11.942005157470703
danced,1,danced,-15.112957954406738
dancer,1,dancer,-13.326888084411621
dancers,1,dancers,-15.42798137664795
dances,1,dances,-16.34609603881836
dancing,1,dancing,-13.752166748046875
dandily,3,da_##ndi_##ly,-22.25844097137451
dandy,2,da_##ndy,-12.224364280700684
danger,1,danger,-9.031145095825195
dangerous,1,dangerous,-8.050003051757812
dangers,1,dangers,-12.272787094116211
dangling,1,dangling,-12.913804054260254
daniel,3,da_##nie_##l,-20.591527462005615
danish,2,da_##nish,-15.490315437316895
danny,2,da_##nny,-17.450526237487793
dans,1,dans,-16.01410484313965
danseur,2,dans_##eur,-18.672094345092773
dante,2,da_##nte,-20.959712028503418
danube,3,da_##nu_##be,-24.69310188293457
daphne,3,da_##ph_##ne,-16.29764175415039
dapper,2,da_##pper,-14.79377269744873
dappertutto,4,da_##pper_##tu_##tto,-37.06198835372925
dare,1,dare,-8.837656021118164
dared,1,dared,-12.502341270446777
dares,2,dare_##s,-10.270973205566406
daring,1,daring,-10.989800453186035
dark,1,dark,-8.695719718933105
darkened,1,darkened,-13.638299942016602
darkening,2,dark_##ening,-13.910354614257812
darkest,2,dark_##est,-12.283422946929932
darkhaired,3,dark_##hai_##red,-20.014531135559082
darkly,2,dark_##ly,-12.137735843658447
darkness,1,darkness,-9.181446075439453
darlene,2,da_##rlene,-19.664843559265137
darling,1,darling,-8.585294723510742
darned,2,da_##rned,-13.786460876464844
darnell,3,da_##rne_##ll,-25.216609954833984
darrell,2,da_##rrell,-20.814976692199707
darted,1,darted,-14.655869483947754
dartmouth,2,dart_##mouth,-22.68792152404785
darwinism,4,da_##r_##win_##ism,-26.998002529144287
das,1,das,-12.054758071899414
dash,1,dash,-12.041572570800781
dashboard,2,dash_##board,-12.797683715820312
dashed,1,dashed,-13.334141731262207
dashes,2,dash_##es,-15.269536972045898
dashiell,3,dash_##iel_##l,-22.484342575073242
data,1,data,-11.070174217224121
date,1,date,-10.887739181518555
dated,1,dated,-12.179239273071289
datelined,2,date_##lined,-21.605266571044922
dates,1,dates,-13.282905578613281
dating,1,dating,-10.762277603149414
daughter,1,daughter,-9.564400672912598
daughters,1,daughters,-12.020700454711914
daunt,2,da_##unt,-16.146981239318848
dauntless,3,da_##unt_##less,-15.608316421508789
dave,2,da_##ve,-17.128435134887695
davenport,3,da_##ven_##port,-26.774126052856445
david,2,da_##vid,-19.544373512268066
davidson,3,da_##vid_##son,-26.245397567749023
davis,2,da_##vis,-19.665337562561035
davits,3,da_##vi_##ts,-19.41478729248047
dawn,1,dawn,-10.509553909301758
day,1,day,-9.374821662902832
daybed,2,day_##bed,-16.92574405670166
daydreamed,3,day_##dre_##amed,-23.957963943481445
daylight,1,daylight,-11.441020011901855
days,1,days,-11.327579498291016
daytime,1,daytime,-14.281852722167969
dazzled,3,da_##zzle_##d,-15.265554904937744
dazzler,3,da_##zzle_##r,-16.092383861541748
dazzling,2,da_##zzling,-14.46869945526123
dc,2,d_##c,-13.845905303955078
de,1,de,-9.529590606689453
deacon,2,de_##acon,-14.284223556518555
deactivated,2,de_##activated,-13.281895160675049
deactivation,3,de_##act_##ivation,-17.060565948486328
dead,1,dead,-6.329519271850586
deadened,2,dead_##ened,-11.983520030975342
deadheads,2,dead_##heads,-14.306517124176025
deadliest,2,dead_##liest,-15.425599575042725
deadline,1,deadline,-12.542409896850586
deadliness,2,deadline_##ss,-18.050984859466553
deadlock,2,dead_##lock,-10.465872287750244
deadly,1,deadly,-8.326967239379883
deaf,1,deaf,-12.120630264282227
deafened,2,deaf_##ened,-16.044382095336914
deal,1,deal,-7.251754283905029
dealer,1,dealer,-11.851387023925781
dealers,1,dealers,-14.101412773132324
dealing,1,dealing,-11.842002868652344
dealings,1,dealings,-13.403911590576172
deals,1,deals,-11.249587059020996
dealt,1,dealt,-11.545364379882812
dean,1,dean,-13.032642364501953
deans,2,dean_##s,-16.06220531463623
dear,1,dear,-7.744845390319824
dearth,2,dear_##th,-13.744404792785645
death,1,death,-6.226977825164795
deathly,2,death_##ly,-8.765791416168213
deaths,1,deaths,-12.74832820892334
debacle,3,de_##ba_##cle,-15.107864379882812
debate,1,debate,-14.10502815246582
debated,1,debated,-14.942797660827637
debating,1,debating,-16.421489715576172
debauchery,4,de_##ba_##uche_##ry,-18.158822059631348
debilitated,3,de_##bil_##itated,-19.127643585205078
debilitating,3,de_##bil_##itating,-17.057491302490234
debonair,3,de_##bon_##air,-16.002382278442383
debonnie,3,de_##bon_##nie,-28.35564422607422
debora,3,de_##bor_##a,-21.215195655822754
debris,1,debris,-13.51644229888916
debt,1,debt,-11.447920799255371
debts,1,debts,-13.23067855834961
debunking,3,de_##bu_##nking,-16.92213726043701
debut,1,debut,-12.445944786071777
debutante,2,debut_##ante,-11.780555725097656
debuting,2,debut_##ing,-15.10106372833252
debuts,2,debut_##s,-16.900227069854736
decade,1,decade,-13.972591400146484
decadence,2,decade_##nce,-14.447856903076172
decadent,2,decade_##nt,-13.103500366210938
decades,1,decades,-13.619895935058594
decanting,3,de_##can_##ting,-19.41974449157715
decay,1,decay,-13.286285400390625
decayed,2,decay_##ed,-13.614075660705566
decaying,2,decay_##ing,-13.88027572631836
decays,2,decay_##s,-17.100255966186523
decca,2,de_##cca,-17.818729400634766
deceased,1,deceased,-11.487968444824219
decedent,3,de_##cede_##nt,-15.183072090148926
deceit,3,de_##ce_##it,-14.184771060943604
deceitful,4,de_##ce_##it_##ful,-12.863763332366943
deceive,2,de_##ceive,-13.084249019622803
deceived,2,de_##ceived,-11.338414192199707
deceleration,3,de_##cel_##eration,-17.946810722351074
december,3,de_##ce_##mber,-18.848775386810303
decency,3,de_##ce_##ncy,-15.165892124176025
decent,1,decent,-7.082816123962402
deceptive,2,de_##ceptive,-11.413521766662598
deceptively,3,de_##ceptive_##ly,-13.176032066345215
decide,1,decide,-10.853716850280762
decided,1,decided,-9.652913093566895
decides,1,decides,-11.862357139587402
deciding,1,deciding,-13.716950416564941
decimal,2,de_##cimal,-13.711811542510986
decision,1,decision,-8.99450969696045
decisions,1,decisions,-11.969990730285645
decisive,1,decisive,-10.009931564331055
decisively,2,decisive_##ly,-13.455278396606445
decisiveness,2,decisive_##ness,-11.97740650177002
deck,1,deck,-12.157644271850586
decked,2,deck_##ed,-14.05744743347168
decking,2,deck_##ing,-15.720792770385742
decks,1,decks,-15.28444766998291
declaration,1,declaration,-11.587142944335938
declarative,4,de_##c_##lar_##ative,-18.666282176971436
declare,1,declare,-11.492315292358398
declared,1,declared,-10.880365371704102
declares,1,declares,-13.877694129943848
declaring,1,declaring,-13.165445327758789
declinations,4,de_##c_##lina_##tions,-23.878026485443115
decline,1,decline,-12.907196044921875
declined,1,declined,-12.782613754272461
declines,2,decline_##s,-13.531530380249023
declining,1,declining,-13.905599594116211
decomposes,4,de_##com_##pose_##s,-19.199298858642578
decomposition,1,decomposition,-16.711090087890625
decompression,4,de_##com_##press_##ion,-18.095871925354004
decor,2,de_##cor,-14.942728042602539
decorate,3,de_##cor_##ate,-16.707850456237793
decorated,1,decorated,-13.624847412109375
decorating,3,de_##cor_##ating,-15.614920616149902
decorations,1,decorations,-15.245853424072266
decorative,1,decorative,-12.806527137756348
decorator,3,de_##cor_##ator,-17.403414726257324
decrease,1,decrease,-15.005533218383789
decreased,1,decreased,-16.136226654052734
decreases,1,decreases,-16.060001373291016
decree,1,decree,-10.207859992980957
decrees,2,decree_##s,-17.2635760307312
decried,3,de_##c_##ried,-16.746241092681885
decry,3,de_##c_##ry,-15.348065853118896
dedicated,1,dedicated,-10.700613021850586
dedicates,3,de_##dicate_##s,-19.648046016693115
dedication,1,dedication,-12.09854793548584
deduced,2,de_##duced,-14.239461898803711
deduct,2,de_##duct,-14.737448692321777
deductable,3,de_##duct_##able,-17.14164924621582
deducted,2,de_##ducted,-15.213892936706543
deductibility,3,de_##duct_##ibility,-19.06315326690674
