word,nr. of tokens,tokens,word score
hitter,2,h_itter,-18.712806701660156
hoarder,3,ho_ard_er,-27.048041820526123
hockey,2,h_ockey,-18.89589214324951
hoisted,2,ho_isted,-23.459757804870605
homeless,2,hom_eless,-24.077160835266113
hoodlum,3,hood_l_um,-32.02311134338379
hooligan,3,h_ool_igan,-32.21438026428223
hostage,2,host_age,-23.023435592651367
hounded,2,h_ounded,-20.840434074401855
house,1,house,-15.668867111206055
hugged,3,h_ug_ged,-28.884334564208984
humorist,3,hum_or_ist,-28.697453498840332
hung,1,hung,-19.580581665039062
hunter,1,hunter,-18.070138931274414
huntsman,3,hun_ts_man,-31.518296241760254
hypnotized,3,hyp_not_ized,-29.477277755737305
hypochondriac,4,hyp_ochond_ri_ac,-41.73117923736572
identified,1,identified,-19.195425033569336
idiot,2,id_iot,-20.77943706512451
illness,2,ill_ness,-21.86699867248535
imitated,2,im_itated,-24.639601707458496
imitator,3,im_it_ator,-25.970597743988037
immigrant,1,immigrant,-16.613384246826172
impersonator,3,im_person_ator,-29.499355792999268
impressed,2,imp_ressed,-23.897122383117676
industrialist,2,industrial_ist,-22.522603034973145
infant,2,inf_ant,-20.553242683410645
infantryman,3,inf_antry_man,-29.935227394104004
inherited,3,in_her_ited,-26.712963581085205
initialed,2,initial_ed,-21.303536415100098
inmate,2,in_mate,-22.750544548034668
innovator,3,inn_ov_ator,-27.38487672805786
inspected,2,ins_pected,-22.905969619750977
inspector,3,ins_pect_or,-25.912480354309082
instructed,2,in_structed,-23.032690048217773
instructor,3,in_struct_or,-27.27577018737793
instrumentalist,3,in_strument_alist,-36.66955852508545
insulted,3,ins_ult_ed,-27.04393768310547
insurgent,3,ins_urg_ent,-29.340352058410645
intermediary,3,inter_medi_ary,-31.31846523284912
intern,1,intern,-17.13286590576172
interpreter,3,inter_pre_ter,-28.245594024658203
interrogated,3,inter_rog_ated,-26.657190322875977
interviewee,3,inter_view_ee,-25.835098266601562
interviewer,3,inter_view_er,-24.419002056121826
intrigued,3,int_rig_ued,-28.302279472351074
introduced,2,introdu_ced,-23.91562843322754
intruder,3,int_r_uder,-31.720820426940918
invader,2,inv_ader,-23.83003044128418
inventor,3,in_vent_or,-27.411253929138184
investigator,2,invest_igator,-27.342710494995117
investor,2,invest_or,-20.116379737854004
invoiced,3,in_vo_iced,-33.1533842086792
irked,2,ir_ked,-27.704079627990723
ironed,2,iron_ed,-21.39342498779297
irritated,3,ir_rit_ated,-30.67043972015381
itinerary,3,it_iner_ary,-27.592612266540527
jail,2,j_ail,-20.722126007080078
jam,1,jam,-18.045862197875977
janitor,2,jan_itor,-23.272865295410156
jester,2,j_ester,-19.49350357055664
jet,1,jet,-14.525249481201172
jock,2,j_ock,-20.214083671569824
joker,2,j_oker,-23.506003379821777
journalist,2,journal_ist,-22.243855476379395
judge,2,jud_ge,-24.779541969299316
jury,1,jury,-17.46795654296875
key,1,key,-16.40961456298828
kid,1,kid,-19.328203201293945
kidnapped,3,kid_n_apped,-37.45472240447998
killed,1,killed,-18.541522979736328
king,1,king,-15.966716766357422
kissed,2,kiss_ed,-22.651299476623535
lab,1,lab,-16.400096893310547
lad,1,lad,-23.184045791625977
lady,2,l_ady,-21.42927360534668
landlady,3,land_l_ady,-31.492642402648926
landscaper,3,land_sc_aper,-30.566640853881836
laptop,2,l_aptop,-24.095521926879883
lauded,3,l_aud_ed,-25.708538055419922
lawyer,2,law_yer,-21.791770935058594
leader,1,leader,-17.339126586914062
lecturer,2,lect_urer,-24.000298500061035
left,1,left,-16.072919845581055
legislator,3,leg_isl_ator,-28.3998703956604
letter,1,letter,-16.2426700592041
liar,2,li_ar,-23.092370986938477
librarian,2,l_ibrarian,-25.17429542541504
lieutenant,2,lie_utenant,-26.555211067199707
lifted,2,l_ifted,-25.25383758544922
light,1,light,-14.754576683044434
linebacker,2,line_backer,-23.522212982177734
lion,2,l_ion,-19.84682273864746
liquor,3,l_iqu_or,-27.355231285095215
litigator,2,lit_igator,-29.647968292236328
loaded,1,loaded,-17.69477081298828
loathed,2,lo_athed,-26.457392692565918
located,2,l_ocated,-24.392680168151855
logger,2,log_ger,-20.513421058654785
